School,School County,LC sits 2021,2021 100% sits,2020 100% sits,DCU,Maynooth University,NUIG,Trinity,UCC,UCD,University of Limerick,RCSI,TU Dublin,MTU,TUS,Dundalk  IT,Galway-Mayo  IT,Dun Laoghaire  IADT,IT  Carlow,IT  Sligo,Letterkenny  IT,Waterford  IT,Marino Institute of Education,Mary Immaculate College,National College of Art & Design,"St Angela's College, Sligo",National College of Ireland,"St Patrick's, Carlow",DBS,Griffith College,"Queen's University, Belfast",University of Ulster
"Tyndall College, Carlow",Co. Carlow,29,100%,28%,1,1,0,0,0,1,1,1,2,0,0,0,0,1,13,0,0,8,0,0,0,0,0,0,0,0,0,0
"Gaelcholáiste Cheatharlach, Askea",Co. Carlow,56,95%,90%,10,3,3,2,2,4,2,0,0,1,4,0,0,0,12,0,0,4,4,0,1,1,0,0,0,0,0,0
"St Leo's College, Carlow",Co. Carlow,153,92%,80%,16,18,9,4,1,9,8,1,3,1,7,1,1,0,32,1,0,15,3,2,1,3,1,3,0,0,0,0
Borris Vocational School,Co. Carlow,75,79%,68%,3,6,2,0,4,5,2,0,0,3,3,0,2,0,10,0,1,14,0,3,0,0,1,0,0,0,0,0
"Coláiste Eoin, Hacketstown",Co. Carlow,28,79%,66%,1,2,0,0,2,3,2,0,0,1,0,0,1,0,6,0,0,3,0,1,0,0,0,0,0,0,0,0
St Mary's Knockbeg College,Co. Carlow,71,77%,81%,8,3,4,5,4,5,5,0,2,0,0,0,0,0,12,0,0,5,0,0,0,0,0,0,2,0,0,0
"Presentation De La Salle College, Bagenalstown",Co. Carlow,113,75%,92%,6,8,1,2,3,6,5,0,2,0,2,1,3,0,27,0,1,12,0,5,0,1,0,0,0,0,0,0
"Presentation College, Carlow",Co. Carlow,136,73%,85%,9,7,4,1,4,8,3,0,6,1,3,0,1,2,27,0,0,19,0,1,1,0,0,2,0,0,0,0
"St Mary's Academy CBS, Carlow",Co. Carlow,79,62%,83%,3,3,0,3,1,3,1,0,2,2,1,0,0,1,21,0,0,7,0,0,1,0,0,0,0,0,0,0
Tullow Community School,Co. Carlow,134,62%,54%,3,6,5,0,3,7,4,0,2,2,3,0,1,0,27,0,0,18,0,0,0,0,0,2,0,0,0,0
"Coláiste Aindriú, Bagenalstown",Co. Carlow,12,17%,58%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Royal School, Cavan",Co. Cavan,20,90%,79%,2,5,2,0,0,1,0,0,2,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"St Aidan's Comprehensive School, Cootehill",Co. Cavan,73,82%,61%,11,5,5,2,1,1,1,0,1,0,1,8,2,0,0,7,7,1,0,1,0,2,0,0,0,0,2,2
Bailieborough Community School,Co. Cavan,98,80%,74%,14,13,5,2,1,2,2,0,7,2,2,10,7,0,0,3,1,1,3,0,2,0,0,0,0,1,0,0
Virginia College,Co. Cavan,90,79%,94%,16,8,6,5,0,5,0,0,13,0,2,4,2,0,2,2,0,0,0,0,0,1,3,0,2,0,0,0
"Loreto College, Cavan",Co. Cavan,114,77%,100%,7,8,14,7,2,13,1,0,11,1,2,1,7,0,1,3,2,0,2,0,0,2,0,0,0,0,1,3
"St Mogue's College, Bawnboy",Co. Cavan,39,74%,57%,10,3,2,1,1,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
St Patrick's College Cavan,Co. Cavan,110,70%,76%,15,3,4,3,1,5,2,0,17,0,3,1,4,3,0,12,1,2,0,0,0,1,0,0,0,0,0,0
"Breifne College, Cavan",Co. Cavan,87,67%,48%,3,5,11,0,1,2,2,0,4,1,4,3,7,0,1,13,0,1,0,0,0,0,0,0,0,0,0,0
"St Clare's College, Ballyjamesduff",Co. Cavan,95,60%,52%,14,5,5,2,0,5,1,1,7,1,4,1,1,2,1,3,1,0,0,0,0,2,0,0,0,1,0,0
"St Bricin's College, Belturbet",Co. Cavan,24,42%,95%,1,0,0,0,0,1,2,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"Coláiste Muire, Ennis",Co. Clare,138,100%,86%,1,0,36,9,18,2,31,1,2,4,16,0,17,0,3,0,1,1,0,14,1,1,0,0,0,0,0,0
"Mary Immaculate Secondary School, Lisdoonvarna",Co. Clare,43,100%,78%,0,0,3,0,4,1,11,0,1,1,12,0,5,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0
Kilrush Community School,Co. Clare,69,100%,79%,0,0,10,0,4,2,13,0,0,7,21,0,6,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0
"Rice College, Ennis",Co. Clare,109,100%,83%,1,0,21,0,3,2,33,1,0,2,29,0,12,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0
"St Anne's Community College, Killaloe",Co. Clare,86,94%,82%,4,0,7,2,6,2,30,0,0,3,19,0,1,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0
"Scoil Mhuire, Ennistymon",Co. Clare,34,94%,88%,0,0,13,0,1,0,6,0,0,1,5,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0
Kilkee Community School,Co. Clare,20,90%,48%,0,0,1,0,0,0,6,0,0,2,5,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"CBS Secondary, Ennistymon",Co. Clare,39,90%,100%,1,1,13,0,1,1,3,1,0,0,3,0,8,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"St Joseph's, Spanish Point",Co. Clare,53,89%,100%,0,1,8,0,0,2,13,0,0,5,7,0,8,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"St Joseph's, Tulla",Co. Clare,72,88%,94%,1,3,9,0,5,3,17,0,0,2,11,0,9,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"St Flannan's College, Ennis",Co. Clare,217,84%,83%,3,1,23,4,12,1,48,0,3,4,38,0,33,0,1,3,1,2,1,5,0,0,0,0,0,0,0,0
Scariff Community College,Co. Clare,63,84%,70%,1,0,10,0,3,2,13,0,0,1,12,0,4,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0
"St Caimin's Community School, Shannon",Co. Clare,113,81%,56%,1,0,10,1,2,0,28,1,0,2,29,0,3,1,0,2,1,0,0,9,0,2,0,0,0,0,0,0
Kilmihil Community College,Co. Clare,40,80%,65%,0,0,2,0,2,1,11,0,0,2,8,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
"St Patrick's Comprehensive School, Shannon",Co. Clare,69,75%,95%,0,0,4,0,1,0,17,1,0,1,20,1,1,0,0,0,1,0,0,3,0,1,0,0,0,1,0,0
Ennis Community College,Co. Clare,52,73%,78%,0,1,6,0,2,0,3,1,3,0,10,0,8,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
"St John Bosco Community College, Kildysart",Co. Clare,48,60%,86%,1,0,2,0,0,0,4,0,0,1,8,0,8,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
Ennistymon Vocational School,Co. Clare,47,45%,61%,0,0,3,1,0,0,4,0,1,0,7,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Scoil Mhuire, Ballingeary",Co. Cork,11,100%,96%,0,0,3,0,3,0,1,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"St Mary's Secondary School, Macroom",Co. Cork,44,100%,100%,0,0,0,1,24,1,1,0,1,12,1,0,0,0,0,0,0,4,0,4,0,1,0,0,0,0,0,0
"Coláiste An Phiarsaigh, Glanmire",Co. Cork,101,100%,95%,0,0,2,3,65,1,4,0,1,16,3,0,0,1,1,1,0,2,0,5,0,0,0,0,0,1,0,0
"Mount St Michael, Rosscarbery",Co. Cork,43,100%,91%,2,0,3,1,17,4,1,0,0,11,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
Midleton College,Co. Cork,72,100%,100%,1,2,10,5,32,5,3,1,0,11,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"St Aloysius College, Carrigtwohill",Co. Cork,121,99%,82%,1,2,1,4,47,2,9,0,1,33,1,0,1,0,0,0,0,9,0,8,1,0,0,0,0,0,0,0
"Loreto, Fermoy",Co. Cork,99,98%,100%,0,2,3,3,42,1,6,0,1,23,3,0,1,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0
"St Francis College, Rochestown",Co. Cork,93,98%,100%,0,0,1,0,49,0,0,0,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CBS, Mitchelstown",Co. Cork,46,98%,94%,0,1,0,0,8,1,11,0,0,14,1,0,0,0,1,0,1,5,0,2,0,0,0,0,0,0,0,0
"Coláiste Choilm, Ballincollig",Co. Cork,211,95%,100%,0,1,1,0,100,0,5,0,0,81,3,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,1
"Sacred Heart Secondary School, Clonakility",Co. Cork,85,94%,100%,1,0,3,2,30,4,8,1,0,22,0,0,0,0,0,0,1,2,0,6,0,0,0,0,0,0,0,0
"St Fanahan's College, Mitchelstown",Co. Cork,13,92%,80%,0,0,2,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Coláiste Na Toirbhirte, Bandon",Co. Cork,80,91%,95%,0,1,2,1,30,2,4,0,2,26,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0
"Hamilton High School, Bandon",Co. Cork,64,89%,85%,0,0,0,0,27,1,3,0,0,24,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"St Mary's Secondary School, Mallow",Co. Cork,106,89%,99%,0,0,11,1,38,4,11,0,0,11,3,0,0,0,0,0,0,2,0,12,0,1,0,0,0,0,0,0
Gaelcholáiste Charraig Uí Leighin,Co. Cork,16,88%,0%,0,0,0,0,11,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Coláiste Treasa. Kanturk,Co. Cork,72,85%,82%,0,0,6,2,12,0,14,0,0,19,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"Coláiste Mhuire, Buttevant",Co. Cork,58,84%,78%,0,1,1,0,9,3,5,0,0,23,2,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0
"St Mary's High School, Midleton",Co. Cork,117,84%,81%,0,2,3,1,35,2,6,0,1,28,0,0,2,0,0,0,0,11,0,6,0,1,0,0,0,0,0,0
Bandon Grammar School,Co. Cork,115,83%,86%,1,0,3,5,42,6,9,0,0,23,1,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0
"Patrician Academy, Academy",Co. Cork,72,83%,74%,1,0,0,1,18,0,11,0,1,19,2,0,1,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0
"Scoil Phobail Bhéara, Castletownbere",Co. Cork,47,83%,73%,0,0,2,0,8,0,4,0,0,20,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
"St Colman's, Fermoy",Co. Cork,76,83%,88%,0,0,1,0,24,1,5,1,0,25,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
"Maria Immaculata Community College, Dunmanway",Co. Cork,76,83%,73%,1,0,3,0,24,0,3,0,0,21,3,0,2,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0
Skibbereen Community School,Co. Cork,129,82%,68%,0,0,9,2,30,4,12,0,1,36,0,0,1,0,0,0,1,2,0,7,0,0,0,0,0,0,1,0
"Presentation Secondary, Mitchelstown",Co. Cork,56,82%,74%,1,0,3,0,15,2,6,0,1,10,1,1,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0
Kinsale Community School,Co. Cork,124,81%,81%,2,1,1,0,49,2,5,0,1,36,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Coláiste De La Salle, Macroom",Co. Cork,53,81%,83%,0,0,0,1,14,2,1,0,0,19,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
"St Mary's, Charleville",Co. Cork,44,80%,94%,0,1,0,0,6,3,8,0,0,7,2,1,0,1,0,0,0,1,1,4,0,0,0,0,0,0,0,0
Glanmire Community College,Co. Cork,142,79%,74%,0,0,4,1,45,2,2,0,0,55,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Clonakilty Community College,Co. Cork,65,78%,81%,0,1,1,0,15,0,4,0,0,28,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
CBS Charleville,Co. Cork,36,78%,53%,1,0,2,0,4,0,2,0,0,6,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Millstreet Community School,Co. Cork,58,78%,86%,0,0,1,2,15,0,3,0,0,16,2,0,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0
"Coláiste Mhuire, Crosshaven",Co. Cork,75,77%,90%,0,0,1,0,31,0,2,0,0,20,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Midleton CBS Secondary School,Co. Cork,136,75%,68%,0,2,0,2,30,0,2,0,0,52,0,0,0,0,1,0,0,9,0,1,0,0,0,0,1,2,0,0
"St Brogan's College, Bandon",Co. Cork,58,72%,74%,0,0,0,0,15,1,0,0,0,23,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Schull Community College,Co. Cork,67,72%,73%,0,1,1,2,8,1,6,0,0,21,1,0,1,1,1,0,0,2,0,1,0,1,0,0,0,0,0,0
"McEgan College, Macroom",Co. Cork,21,71%,93%,0,0,0,0,4,0,1,0,0,7,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Pobailscoil Na Trionóide, Youghal",Co. Cork,150,71%,64%,1,0,1,1,34,2,7,0,0,27,3,0,1,0,1,0,1,20,0,6,0,0,0,1,0,1,0,0
"Coláiste Pobail Bheanntraí, Bantry",Co. Cork,114,71%,71%,1,0,3,0,22,0,9,0,2,28,2,0,0,1,1,0,0,9,0,3,0,0,0,0,0,0,0,0
"Scoil Mhuire Gan Smál, Blarney",Co. Cork,125,70%,80%,0,0,1,0,35,1,3,0,0,44,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
Boherbue Comprehensive School,Co. Cork,50,70%,83%,1,0,1,0,10,0,6,0,1,11,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Coláiste Muire, Cobh",Co. Cork,90,69%,79%,0,0,0,0,24,1,1,0,0,31,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0
"Coláiste Ghobnatan, Ballyvourney",Co. Cork,35,69%,70%,0,0,0,0,14,0,3,0,0,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
"Sacred Heart College, Carrignavar",Co. Cork,97,68%,76%,1,0,0,1,34,0,0,0,0,25,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0
"St Aidan's Community College, Dublin Hill, Cork",Co. Cork,40,68%,61%,0,1,0,0,9,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ballincollig Community School,Co. Cork,119,67%,85%,0,0,1,0,36,2,2,0,0,34,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0
Coachford Community College,Co. Cork,124,67%,90%,0,0,0,0,25,3,4,0,0,47,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Davis College, Mallow",Co. Cork,102,64%,58%,1,0,2,0,13,2,3,0,3,22,7,0,2,0,0,1,0,7,0,2,0,0,0,0,0,0,0,0
"Coláiste An Chraoibhín, Fermoy",Co. Cork,135,64%,55%,0,0,2,2,20,0,8,0,0,34,9,0,0,0,1,0,0,7,0,3,0,0,0,0,0,0,0,0
"St Peter's Community School, Passage West",Co. Cork,58,62%,50%,0,0,0,2,13,0,1,0,0,17,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Scoil Mhuire, Kanturk",Co. Cork,44,61%,84%,0,0,2,1,10,0,2,0,1,7,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"St Colman's Community College, Midleton",Co. Cork,112,60%,57%,0,0,0,0,18,0,3,0,0,38,1,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0
"Carrignafoy Community College, Cobh",Co. Cork,17,59%,62%,0,0,0,0,2,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nagle Rice Secondary School, Doneraile",Co. Cork,23,52%,85%,0,0,0,0,0,0,4,0,0,5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Mayfield Community School,Co. Cork,31,39%,58%,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Presentation College, Mardyke",Co. Cork,105,100%,100%,0,0,1,1,82,0,5,0,0,18,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Regina Mundi College, Douglas Road",Co. Cork,74,100%,100%,0,0,0,0,52,1,0,0,1,17,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
"Mount Mercy College, Model Farm Road",Co. Cork,109,100%,100%,1,0,2,1,72,3,2,0,1,20,0,0,2,0,0,0,0,1,0,5,0,1,0,0,0,0,1,0
"Scoil Mhuire, Sydney Place",Co. Cork,53,100%,100%,0,0,5,4,26,1,1,0,1,11,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
"Christian Brothers College, Sidney Hill",Co. Cork,150,99%,100%,0,0,1,3,106,2,2,0,0,30,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
"Christ The King Secondary School, South Douglas Road",Co. Cork,123,94%,92%,1,0,3,1,59,1,1,0,1,40,3,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0
"St Angela's College, Patrick's Hill",Co. Cork,92,91%,100%,1,2,2,4,49,1,3,2,1,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Coláiste Daibhéid, South Terrace",Co. Cork,19,84%,82%,0,0,0,0,10,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Presentation Secondary School, Ballyphehane",Co. Cork,35,83%,80%,0,0,0,0,18,0,0,0,0,9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Coláiste An Spioraid Naoimh, Bishopstown",Co. Cork,112,82%,78%,0,0,0,2,53,0,0,0,0,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Gaelcholáiste Mhuire, North Monastery",Co. Cork,84,79%,85%,0,0,0,0,34,0,0,0,0,30,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Ashton Comprehensive School, Blackrock Road",Co. Cork,86,78%,92%,2,0,4,3,29,2,1,0,0,22,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Carrigaline Community School,Co. Cork,197,76%,71%,0,2,1,1,59,2,4,0,2,70,0,1,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0
"Coláiste Chriost Rí, Capwell Road",Co. Cork,118,75%,60%,0,0,1,0,35,2,1,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"St Aloysius School, St Maries of the Isle",Co. Cork,64,75%,78%,1,0,0,2,22,0,0,0,0,17,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
Douglas Community School,Co. Cork,95,71%,96%,0,0,0,0,24,0,2,0,0,39,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ursuline Secondary School, Blackrock",Co. Cork,33,67%,78%,0,0,0,2,12,0,1,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Coláiste Éamann Rís, St Patrick's Road",Co. Cork,28,64%,53%,0,0,0,0,5,0,2,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"St Patrick's College, Gardiner's Hill",Co. Cork,38,63%,47%,0,1,0,0,10,1,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bishopstown Community School,Co. Cork,54,54%,48%,0,0,0,0,11,0,0,0,0,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
North Monastery CBS,Co. Cork,45,51%,67%,0,0,0,0,10,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Presentation Secondary School, Farranree",Co. Cork,26,46%,71%,1,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Terence MacSwiney Community College,Co. Cork,11,45%,0%,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"St Vincent's Secondary, St Mary's Road",Co. Cork,44,41%,58%,0,0,0,0,8,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nagle Community College, Mahon",Co. Cork,27,30%,50%,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"St Catherine's Vocational School, Killybegs",Co. Donegal,26,100%,59%,4,1,3,2,0,4,0,0,0,0,0,0,7,1,0,5,14,0,0,1,0,1,0,0,0,0,1,2
"St Columba's College, Stranorlar",Co. Donegal,86,100%,78%,3,8,8,1,0,3,0,0,0,0,1,1,3,0,0,3,56,0,0,0,0,0,0,0,0,0,7,7
"The Rosses Community School, Dungloe",Co. Donegal,61,100%,92%,4,1,7,0,0,1,2,0,1,2,3,0,4,0,0,7,27,0,0,0,0,2,0,0,0,0,2,3
"Loreto, Letterkenny",Co. Donegal,112,99%,88%,9,8,15,5,1,3,2,0,1,0,0,2,2,0,1,2,40,0,1,0,0,4,0,0,0,0,10,5
"Coláiste Ailigh, Letterkenny",Co. Donegal,38,97%,72%,5,4,4,2,0,4,1,0,2,0,0,1,1,0,0,1,3,0,3,1,0,1,0,0,0,0,1,3
"Loreto Community School, Milford",Co. Donegal,116,92%,81%,9,5,12,0,1,1,3,0,1,0,1,0,2,0,0,4,44,0,3,0,0,0,0,0,0,0,12,9
"Pobalscoil Ghaoth Dobhair, Derrybeg",Co. Donegal,72,92%,95%,7,3,14,0,1,3,4,0,2,2,1,0,1,0,1,2,14,0,1,0,0,0,0,0,0,0,6,4
"Coláiste Na Carraige, Carrick",Co. Donegal,34,91%,100%,1,0,7,1,0,0,0,0,2,0,0,0,5,0,0,5,5,1,2,0,0,1,0,0,0,0,0,1
"Gairmscoil Chú Uladh, Ballinamore, Lifford",Co. Donegal,28,89%,63%,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,17,0,1,0,0,1,0,0,0,0,0,0
"St Eunan's College, Letterkenny",Co. Donegal,131,89%,84%,8,6,11,3,0,4,1,0,5,1,0,0,9,0,0,3,52,0,0,0,0,0,0,0,0,0,7,6
"Pobalscoil Chloich Cheannfhaola, Falcarragh",Co. Donegal,82,88%,90%,9,3,7,0,1,0,1,0,1,0,0,1,3,0,0,7,33,0,0,0,0,1,0,0,0,0,3,2
"Crana College, Buncrana",Co. Donegal,83,84%,68%,0,0,10,1,0,0,2,0,0,2,1,0,1,0,0,4,33,0,2,0,0,1,0,0,0,0,8,5
"St Columba's Comprehensive, Glenties",Co. Donegal,68,84%,77%,7,1,4,4,0,1,0,0,3,0,1,0,4,0,0,12,16,0,1,0,0,1,0,0,0,0,1,1
"Gairmscoil Mhic Diarmada, Letterkenny",Co. Donegal,12,83%,88%,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Coláiste Cholmcille, Ballyshannon",Co. Donegal,81,77%,100%,2,4,10,3,0,4,3,0,1,0,2,0,6,1,0,15,5,0,0,1,0,1,0,0,0,0,4,0
"Abbey Vocational School, Donegal",Co. Donegal,131,76%,83%,9,6,11,2,1,3,11,0,1,0,0,0,5,0,0,17,18,0,3,0,0,2,0,0,1,0,7,3
Moville Community College,Co. Donegal,90,73%,78%,2,5,5,0,1,0,1,0,0,2,1,0,3,0,0,2,30,0,0,0,1,1,0,0,0,0,5,7
Carndonagh Community School,Co. Donegal,154,73%,84%,4,7,4,2,0,7,2,0,2,0,1,1,5,0,1,2,43,0,0,0,0,1,0,0,0,0,10,20
"Scoil Mhuire, Buncrana",Co. Donegal,119,72%,89%,1,4,4,1,0,1,0,0,0,0,0,0,0,0,0,8,47,0,0,0,0,0,0,0,0,1,4,15
"Magh Éne College, Bundoran",Co. Donegal,50,70%,85%,3,2,5,0,0,3,0,0,0,0,1,2,1,0,0,13,2,0,0,0,0,1,0,0,0,0,2,0
"Mulroy College, Milford",Co. Donegal,80,68%,66%,2,2,2,1,0,1,2,0,0,0,1,1,5,0,0,6,28,0,0,0,0,0,0,0,0,0,2,1
"Deele College, Raphoe",Co. Donegal,78,62%,58%,3,0,3,0,1,1,0,0,1,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,1,6
"Royal And Prior Comprehensive, Raphoe",Co. Donegal,116,56%,78%,8,0,5,1,0,0,0,0,0,0,1,1,0,0,0,2,32,0,0,0,0,1,0,0,0,0,5,9
"Finn Valley College, Stranorlar",Co. Donegal,35,49%,95%,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,2,9,0,0,0,0,1,0,0,0,0,0,0
"Errigal College, Letterkenny",Co. Donegal,41,41%,44%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,1
"John Scottus Secondary School, Rathmichael",Co. Dublin,11,100%,75%,1,0,4,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"Christian Brothers College, Monkstown",Co. Dublin,60,100%,100%,0,0,3,9,0,27,0,1,26,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dominican College, Blackrock",Co. Dublin,46,100%,100%,7,3,0,5,0,17,0,0,13,0,0,0,1,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0
"Loreto Abbey, Dalkey",Co. Dublin,78,100%,100%,5,1,5,19,0,31,0,2,11,0,0,0,0,6,0,0,0,1,3,0,0,0,1,0,0,1,1,0
"St Joseph Of Cluny, Killiney",Co. Dublin,49,100%,100%,3,0,4,9,0,29,0,0,4,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Blackrock College,Co. Dublin,197,100%,99%,4,1,9,53,2,94,0,2,34,0,0,0,0,6,0,0,0,1,0,0,1,0,0,0,1,1,1,0
"St Andrew's College, Booterstown",Co. Dublin,151,100%,100%,4,1,10,50,2,38,0,0,33,1,0,0,0,9,0,0,0,0,0,0,4,0,1,0,2,0,2,0
"Holy Child School, Killiney",Co. Dublin,65,100%,100%,3,0,4,19,0,23,2,1,11,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"Coláiste Eoin, Booterstown",Co. Dublin,83,100%,100%,2,1,0,14,0,44,0,0,18,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Oatlands College, Mount Merrion",Co. Dublin,83,100%,92%,9,1,0,5,0,28,1,0,29,0,0,0,0,6,0,0,0,1,0,0,1,0,2,0,0,1,0,0
"St Benildus College, Stillorgan",Co. Dublin,127,100%,100%,6,2,3,13,1,46,0,0,45,0,0,0,0,5,1,0,0,1,1,0,1,0,1,0,2,0,0,0
"Clonkeen College, Blackrock",Co. Dublin,64,100%,91%,3,1,0,3,0,15,1,0,22,0,0,0,0,13,1,0,0,1,0,0,0,0,3,0,1,0,0,0
"Coláiste Iosagáin, Booterstown",Co. Dublin,75,99%,100%,6,1,0,18,0,30,0,2,9,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,1,0,0,0
