School,School County,LC sits 2021,2021 100% sits,2020 100% sits,DCU,Maynooth University,NUIG,Trinity,UCC,UCD,University of Limerick,RCSI,TU Dublin,MTU,TUS,Dundalk  IT,Galway-Mayo  IT,Dun Laoghaire  IADT,IT  Carlow,IT  Sligo,Letterkenny  IT,Waterford  IT,Marino Institute of Education,Mary Immaculate College,National College of Art & Design,"St Angela's College, Sligo",National College of Ireland,"St Patrick's, Carlow",DBS,Griffith College,"Queen's University, Belfast",University of Ulster
"Coláiste Mhuire, Askeaton",Co. Limerick,67,72%,66%,1,0,1,0,3,1,16,0,2,5,11,0,0,0,0,0,0,1,0,4,0,2,0,0,0,1,0,0
"Desmond College, Newcastle West",Co. Limerick,49,71%,65%,0,0,2,0,3,0,6,0,1,9,9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"Coláiste Chiaráin, Croom",Co. Limerick,104,71%,72%,2,0,3,1,3,0,23,0,0,5,31,0,2,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0
"Ard Scoil Mhuire, Corbally",Co. Limerick,65,68%,71%,0,0,0,0,0,0,14,0,0,3,16,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"Coláiste Nano Nagle, Limerick",Co. Limerick,58,57%,54%,0,0,0,0,0,0,9,0,0,0,19,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0
"St Clement's Redemptorist, Limerick",Co. Limerick,83,57%,66%,0,0,0,0,0,0,20,0,0,0,22,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
"CBS Sexton Street, Limerick",Co. Limerick,50,42%,85%,0,0,1,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Cnoc Mhuire, Granard",Co. Longford,62,84%,74%,13,6,0,5,0,7,0,0,6,1,7,0,3,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
"Mercy Secondary School, Ballymahon",Co. Longford,108,83%,84%,10,5,20,1,0,5,4,0,5,1,17,2,9,0,0,2,1,2,0,0,1,1,0,1,3,0,0,0
Moyne Community School,Co. Longford,99,82%,73%,11,5,13,1,1,10,3,0,7,0,7,2,9,0,1,5,3,1,0,0,0,0,0,0,2,0,0,0
